id,name,age,salary,city,score
201,Ivan,38,118957,Delhi,15.9
202,Ivan,18,51542,Chennai,38.84
203,Eve,39,89990,Hyderabad,90.67
204,Ivan,28,94613,Chennai,47.93
205,Hana,44,73177,Kolkata,3.7
206,Hana,43,114017,Bangalore,8.31
207,Ivan,46,100837,Bangalore,97.22
208,Alice,30,56121,Chennai,13.08
209,Hana,40,54998,Hyderabad,96.38
210,Frank,33,102605,Chennai,4.44
211,Bob,39,97611,Bangalore,44.42
212,Alice,27,92355,Hyderabad,91.51
213,Bob,23,28136,Chennai,98.61
214,Eve,33,20313,Kolkata,63.36
215,Ivan,33,99105,Pune,79.78
216,Bob,42,110793,Mumbai,57.92
217,Julia,57,36324,Bangalore,24.64
218,Charlie,29,50063,Bangalore,26.57
219,Ivan,45,74962,Bangalore,9.2
220,Eve,22,62633,Bangalore,37.47
221,Charlie,35,75691,Delhi,95.09
222,Ivan,40,86774,Pune,9.36
223,Hana,55,83849,Delhi,68.01
224,David,27,60439,Delhi,2.33
225,Ivan,56,49028,Hyderabad,16.74
226,Hana,59,55054,Delhi,71.31
227,Ivan,35,96636,Hyderabad,41.79
228,Alice,38,112080,Pune,48.81
229,Julia,31,20158,Mumbai,36.37
230,David,28,67461,Pune,55.21
231,Bob,49,36809,Bangalore,36.24
232,Bob,52,32074,Mumbai,58.16
233,Eve,50,44320,Chennai,66.23
234,Julia,34,78247,Delhi,66.23
235,Bob,30,21471,Mumbai,40.66
236,Frank,53,94173,Mumbai,41.89
237,Bob,41,68249,Kolkata,48.79
238,Frank,58,31218,Delhi,52.15
239,Julia,30,23534,Mumbai,90.34
240,Bob,42,90159,Kolkata,23.27
241,Grace,29,85513,Chennai,5.89
242,Ivan,38,92993,Bangalore,38.73
243,Hana,49,117689,Chennai,80.16
244,Bob,24,27442,Kolkata,8.25
245,Ivan,44,104529,Mumbai,0.4
246,Ivan,18,54664,Bangalore,69.5
247,Bob,22,52840,Chennai,76.06
248,Eve,57,32222,Mumbai,89.31
249,Eve,54,64483,Hyderabad,33.72
250,Alice,41,32200,Kolkata,14.3
251,Charlie,38,68182,Bangalore,25.69
252,Alice,37,54861,Chennai,11.79
253,Charlie,56,74579,Hyderabad,67.54
254,Hana,34,96547,Delhi,11.1
255,Bob,51,116316,Pune,34.89
256,David,37,107249,Mumbai,67.41
257,Bob,28,92740,Hyderabad,82.12
258,Eve,31,60707,Mumbai,50.07
259,Eve,52,116151,Pune,39.66
260,Charlie,35,59433,Bangalore,8.23
261,Julia,27,115800,Chennai,94.85
262,Alice,34,84901,Kolkata,43.33
263,Hana,56,77058,Chennai,75.3
264,Bob,43,114696,Mumbai,98.61
265,Charlie,28,52257,Chennai,98.92
266,Frank,42,94206,Bangalore,12.3
267,Julia,49,45662,Chennai,69.21
268,Ivan,25,107428,Mumbai,10.92
269,Alice,23,93892,Hyderabad,90.89
270,Frank,29,116438,Chennai,63.17
271,Julia,50,37167,Mumbai,17.76
272,Alice,54,40621,Kolkata,19.67
273,Grace,23,33776,Pune,93.08
274,Julia,21,42196,Mumbai,57.16
275,David,58,23169,Delhi,72.14
276,Charlie,22,72089,Bangalore,54.22
277,Julia,56,93629,Pune,25.06
278,Eve,49,33558,Bangalore,53.98
279,David,59,79651,Kolkata,89.32
280,Eve,49,46056,Pune,51.25
281,Eve,30,96642,Chennai,69.13
282,Julia,35,34950,Kolkata,62.69
283,Charlie,27,46491,Bangalore,61.96
284,Hana,46,23644,Delhi,85.42
285,David,41,78278,Mumbai,70.69
286,Charlie,59,40600,Bangalore,52.97
287,Julia,54,27102,Delhi,34.57
288,Charlie,19,113390,Kolkata,10.62
289,Grace,23,79033,Hyderabad,27.06
290,Julia,48,63612,Pune,63.14
291,Charlie,46,77520,Mumbai,85.69
292,Julia,31,47568,Chennai,84.38
293,David,59,107939,Kolkata,64.79
294,Hana,40,36950,Delhi,13.22
295,Eve,50,24790,Bangalore,68.82
296,Frank,38,85983,Delhi,4.05
297,Grace,20,89703,Bangalore,86.72
298,Frank,54,65400,Pune,82.11
299,Hana,32,88001,Mumbai,22.5
300,Charlie,39,42312,Bangalore,18.78
301,Alice,58,36646,Delhi,10.53
302,Eve,28,119233,Chennai,48.21
303,Ivan,46,70720,Chennai,90.02
304,David,37,57454,Bangalore,56.48
305,Charlie,51,119605,Mumbai,42.85
306,Ivan,42,56335,Kolkata,89.55
307,Bob,33,96607,Pune,15.29
308,Charlie,46,81704,Delhi,38.9
309,Charlie,34,97308,Pune,51.8
310,Frank,41,68511,Delhi,63.12
311,David,39,118533,Hyderabad,36.39
312,Alice,31,86304,Kolkata,29.66
313,David,48,40609,Delhi,75.96
314,Bob,25,96517,Kolkata,94.24
315,David,50,97548,Chennai,21.32
316,Charlie,49,107716,Kolkata,2.61
317,Eve,18,76646,Pune,2.82
318,Charlie,18,56889,Bangalore,67.5
319,Julia,56,93112,Pune,16.13
320,Grace,52,62250,Bangalore,42.89
321,Ivan,39,99744,Pune,5.82
322,Grace,46,90761,Kolkata,89.24
323,Julia,22,42726,Chennai,25.84
324,Eve,24,39949,Mumbai,10.85
325,Frank,48,24019,Kolkata,77.98
326,Eve,24,61348,Hyderabad,84.51
327,Eve,53,53509,Delhi,52.33
328,Julia,50,70493,Bangalore,21.88
329,Alice,37,90104,Mumbai,84.5
330,Grace,25,101020,Chennai,6.21
331,Hana,46,91982,Bangalore,62.22
332,Bob,20,56296,Chennai,12.45
333,Julia,34,114812,Bangalore,52.72
334,Frank,32,98693,Pune,43.99
335,David,18,71146,Mumbai,87.42
336,Hana,58,80477,Kolkata,11.97
337,David,37,77385,Delhi,58.87
338,Hana,22,51279,Mumbai,93.87
339,Frank,52,66403,Pune,82.43
340,Frank,46,72705,Pune,46.85
341,Grace,19,31780,Pune,15.21
342,Frank,48,89139,Hyderabad,60.7
343,Hana,49,29302,Bangalore,83.13
344,Hana,30,103383,Delhi,30.34
345,David,41,49366,Hyderabad,68.24
346,Charlie,46,30254,Pune,49.45
347,Frank,30,103493,Pune,36.17
348,Frank,42,67486,Chennai,4.31
349,Eve,49,99544,Mumbai,24.69
350,David,58,72692,Mumbai,75.12
351,Julia,52,64827,Chennai,90.2
352,Alice,35,91018,Kolkata,94.17
353,Grace,53,51124,Delhi,40.57
354,Ivan,56,75508,Hyderabad,45.27
355,David,55,27855,Hyderabad,69.6
356,Hana,59,31748,Pune,70.02
357,Charlie,50,60094,Mumbai,62.53
358,Eve,45,104994,Bangalore,79.5
359,David,52,34759,Mumbai,43.15
360,Alice,31,27160,Hyderabad,89.86
361,Grace,20,118004,Chennai,66.73
362,Frank,37,42079,Delhi,7.06
363,Grace,40,72312,Mumbai,10.04
364,David,39,100085,Kolkata,12.6
365,Grace,49,111905,Delhi,58.77
366,Charlie,57,66298,Hyderabad,40.79
367,Alice,59,91430,Pune,81.81
368,Ivan,36,113947,Mumbai,68.54
369,Hana,38,35559,Mumbai,54.8
370,Hana,56,106625,Bangalore,7.88
371,Ivan,30,95510,Kolkata,15.67
372,David,44,116720,Hyderabad,64.95
373,Hana,34,33929,Bangalore,92.39
374,Julia,33,112726,Delhi,75.02
375,Alice,20,106273,Mumbai,55.63
376,Grace,42,21093,Kolkata,81.32
377,Charlie,29,34162,Bangalore,77.49
378,Grace,27,86054,Pune,59.78
379,Grace,48,45313,Pune,6.42
380,David,21,69100,Pune,96.33
381,Charlie,51,105702,Hyderabad,22.33
382,Eve,58,55744,Mumbai,74.73
383,Bob,37,20534,Pune,83.62
384,Hana,37,96448,Chennai,4.74
385,Charlie,30,86016,Pune,54.05
386,Frank,24,93399,Delhi,25.98
387,Alice,31,76491,Pune,86.19
388,Julia,29,61080,Bangalore,57.33
389,Alice,54,96885,Delhi,13.59
390,Julia,58,106044,Hyderabad,36.65
391,Eve,52,88361,Pune,5.38
392,David,52,72898,Mumbai,25.98
393,Charlie,32,88495,Pune,68.39
394,Eve,32,116200,Delhi,9.86
395,Eve,53,79151,Bangalore,4.69
396,Eve,30,72989,Mumbai,66.61
397,Julia,48,63538,Chennai,41.5
398,Frank,43,106993,Delhi,56.75
399,David,30,93291,Pune,34.33
400,Grace,49,43559,Hyderabad,28.37
401,Eve,46,113873,Bangalore,30.67
402,Eve,36,50422,Pune,64.98
403,Alice,34,20628,Delhi,75.15
404,Charlie,26,52067,Mumbai,19.05
405,Ivan,48,22507,Chennai,20.29
406,Grace,34,52820,Kolkata,23.9
407,Ivan,24,89070,Pune,44.1
408,Hana,46,39685,Chennai,45.8
409,Julia,41,56783,Chennai,42.29
410,Charlie,58,69638,Mumbai,29.19
411,Ivan,30,96518,Delhi,60.04
412,Bob,54,65636,Pune,14.14
413,Eve,33,70349,Bangalore,94.5
414,Julia,43,24560,Chennai,13.78
415,David,21,61099,Delhi,92.09
416,Charlie,44,117165,Kolkata,37.36
417,Charlie,26,48837,Delhi,86.83
418,Julia,58,22148,Pune,15.56
419,Hana,32,113076,Kolkata,52.45
420,Charlie,38,88571,Delhi,26.33
421,Hana,58,36558,Hyderabad,47.42
422,Grace,22,63563,Bangalore,7.15
423,Bob,19,45553,Pune,84.1
424,Frank,18,89492,Delhi,58.36
425,Bob,45,30036,Bangalore,95.15
426,Alice,34,50725,Chennai,2.5
427,Frank,57,100245,Pune,21.72
428,Bob,27,65023,Pune,74.19
429,Alice,42,86377,Pune,40.01
430,Eve,46,21839,Hyderabad,94.57
431,Charlie,54,78767,Hyderabad,46.82
432,Bob,50,113929,Kolkata,22.35
433,Alice,51,93258,Delhi,28.55
434,Eve,38,36418,Bangalore,37.88
435,Hana,23,58863,Kolkata,2.34
436,Ivan,19,66473,Pune,44.76
437,Charlie,49,46124,Pune,27.65
438,Eve,20,93476,Bangalore,47.18
439,Julia,32,91398,Pune,87.75
440,Bob,58,23523,Chennai,79.69
441,Grace,52,29351,Delhi,85.54
442,Hana,52,24167,Delhi,21.61
443,Hana,32,110508,Kolkata,7.93
444,Hana,45,107059,Hyderabad,93.79
445,Grace,59,53365,Hyderabad,31.96
446,Bob,43,70613,Delhi,87.85
447,Charlie,37,99704,Chennai,63.01
448,Bob,29,85843,Kolkata,99.37
449,Grace,48,70529,Delhi,5.68
450,Julia,21,30465,Delhi,2.55
451,Frank,50,109814,Bangalore,31.54
452,Hana,26,109445,Mumbai,89.5
453,Alice,40,55792,Kolkata,88.16
454,David,51,60463,Pune,25.95
455,Bob,24,70750,Chennai,58.55
456,Grace,25,99251,Hyderabad,91.38
457,Eve,19,66119,Bangalore,23.92
458,David,48,83906,Bangalore,31.56
459,Hana,55,48026,Bangalore,97.83
460,Frank,39,75528,Pune,43.3
461,Eve,58,40398,Kolkata,35.9
462,David,49,55563,Mumbai,99.64
463,Alice,58,53390,Bangalore,73.33
464,Ivan,30,103795,Mumbai,27.42
465,David,41,96962,Kolkata,7.34
466,Ivan,44,32140,Chennai,23.61
467,Ivan,45,58707,Bangalore,35.37
468,Alice,34,40839,Hyderabad,59.99
469,Frank,59,54825,Hyderabad,22.65
470,Charlie,42,25999,Kolkata,94.05
471,Eve,39,86743,Delhi,46.21
472,Bob,44,84663,Bangalore,72.2
473,Charlie,42,63249,Kolkata,8.43
474,David,27,39375,Delhi,94.36
475,Frank,18,50163,Chennai,71.33
476,Julia,19,38199,Mumbai,59.5
477,Frank,25,91155,Bangalore,12.06
478,Hana,54,107930,Kolkata,42.4
479,David,29,34573,Pune,8.18
480,Ivan,21,51443,Bangalore,23.31
481,Hana,42,94121,Chennai,84.34
482,Ivan,53,33158,Bangalore,22.66
483,Eve,24,87122,Pune,34.32
484,Julia,35,58041,Mumbai,55.58
485,Alice,54,56370,Chennai,41.46
486,Alice,40,69175,Mumbai,38.36
487,Julia,24,71565,Kolkata,24.11
488,Charlie,43,26975,Pune,70.6
489,Eve,55,78810,Bangalore,71.4
490,Charlie,30,101035,Bangalore,94.71
491,Ivan,57,39653,Bangalore,5.95
492,David,50,79481,Mumbai,92.57
493,Eve,49,85142,Delhi,10.34
494,Eve,47,69437,Pune,24.4
495,Hana,18,94677,Pune,19.39
496,Ivan,58,93921,Mumbai,17.03
497,Ivan,25,99905,Mumbai,10.64
498,Alice,32,92566,Hyderabad,4.69
499,Julia,21,24855,Kolkata,19.88
500,Julia,42,26905,Pune,99.53
501,Alice,58,73923,Delhi,62.44
502,Frank,56,75713,Kolkata,27.29
503,Hana,40,26754,Chennai,43.64
504,Eve,50,90441,Hyderabad,49.31
505,Eve,18,81981,Kolkata,99.23
506,David,30,49995,Mumbai,62.17
507,Charlie,19,45808,Delhi,38.34
508,Eve,25,90631,Delhi,67.42
509,Bob,45,31053,Mumbai,99.7
510,Charlie,51,50660,Pune,47.31
511,Grace,47,31528,Hyderabad,76.05
512,Eve,20,74003,Delhi,78.95
513,Hana,51,65916,Pune,6.21
514,Julia,34,24633,Bangalore,49.05
515,Charlie,21,88256,Mumbai,87.44
516,Grace,33,51371,Pune,68.19
517,Bob,47,69535,Chennai,68.43
518,Hana,44,63345,Delhi,2.4
519,Alice,20,21319,Kolkata,94.6
520,Frank,24,41446,Delhi,81.97
521,Ivan,44,60013,Chennai,34.97
522,David,54,91280,Mumbai,86.17
523,David,40,30860,Mumbai,68.58
524,Bob,42,111852,Delhi,43.42
525,Alice,33,36504,Hyderabad,75.52
526,Charlie,47,76919,Mumbai,74.01
527,Julia,48,38174,Hyderabad,57.61
528,Grace,26,99620,Hyderabad,34.43
529,Hana,33,43508,Delhi,80.86
530,David,39,101649,Pune,40.27
531,Eve,37,51483,Hyderabad,72.95
532,Julia,38,67434,Hyderabad,54.27
533,Hana,44,88930,Mumbai,47.79
534,Alice,30,113752,Kolkata,43.39
535,Ivan,33,58795,Pune,75.85
536,Bob,28,79790,Mumbai,62.05
537,Bob,24,62236,Delhi,76.74
538,Bob,33,99611,Kolkata,83.4
539,Hana,56,28885,Pune,75.35
540,Grace,42,101210,Hyderabad,71.08
541,Charlie,37,29431,Bangalore,89.14
542,Hana,44,21609,Hyderabad,12.41
543,Ivan,19,87684,Hyderabad,49.44
544,Bob,37,107076,Chennai,89.89
545,Hana,36,28823,Pune,98.64
546,Alice,25,43057,Delhi,85.72
547,Grace,28,32905,Hyderabad,73.46
548,Bob,20,88421,Bangalore,84.54
549,Alice,24,66844,Kolkata,46.41
550,David,22,72288,Mumbai,24.17
551,Alice,22,57565,Mumbai,67.96
552,Hana,41,78715,Delhi,85.21
553,Ivan,19,62047,Kolkata,66.6
554,Ivan,35,50625,Bangalore,0.9
555,Eve,39,27540,Delhi,19.39
556,Julia,32,81914,Mumbai,17.28
557,Eve,30,27687,Pune,16.54
558,Alice,19,54192,Mumbai,91.93
559,Alice,22,100233,Pune,56.23
560,Eve,22,56819,Pune,60.71
561,Ivan,52,86304,Hyderabad,20.1
562,Alice,41,105176,Mumbai,9.37
563,Bob,35,82464,Pune,79.36
564,Charlie,38,113962,Bangalore,38.96
565,Hana,51,40001,Bangalore,37.1
566,Julia,26,71994,Pune,68.18
567,Hana,48,106993,Mumbai,43.64
568,Frank,51,57143,Kolkata,76.49
569,Charlie,18,44859,Kolkata,73.81
570,Eve,39,85286,Bangalore,91.72
571,Bob,20,66143,Chennai,94.15
572,Charlie,36,62829,Mumbai,30.01
573,David,26,61799,Kolkata,70.67
574,Frank,34,67168,Hyderabad,62.23
575,David,49,101472,Chennai,68.53
576,Hana,54,92721,Hyderabad,58.67
577,Alice,27,49488,Chennai,29.08
578,Frank,24,27023,Kolkata,11.78
579,Grace,27,86575,Delhi,45.42
580,Eve,24,90575,Mumbai,54.43
581,Frank,18,23499,Hyderabad,73.68
582,Ivan,33,49624,Chennai,46.04
583,Bob,31,116940,Delhi,44.89
584,Eve,44,70312,Mumbai,60.43
585,Bob,47,74265,Pune,11.16
586,Bob,25,55744,Delhi,46.89
587,Alice,44,52926,Delhi,40.15
588,Bob,19,101966,Mumbai,4.64
589,Julia,29,49649,Kolkata,22.07
590,Charlie,48,119350,Delhi,48.72
591,Eve,22,70124,Hyderabad,33.46
592,Hana,40,29921,Mumbai,62.53
593,Hana,33,67402,Delhi,73.12
594,Eve,18,78144,Bangalore,70.73
595,Alice,44,91233,Chennai,69.63
596,David,20,35635,Pune,26.42
597,Alice,50,76560,Pune,0.4
598,Charlie,46,64641,Kolkata,81.8
599,Alice,50,111387,Hyderabad,55.25
600,Eve,34,25382,Delhi,7.91
601,Ivan,21,38073,Bangalore,83.92
602,Frank,24,96279,Hyderabad,48.36
603,Charlie,27,50058,Delhi,88.39
604,Frank,44,81350,Hyderabad,3.17
605,Bob,25,51008,Delhi,3.78
606,Julia,54,70817,Pune,47.86
607,Charlie,46,43983,Hyderabad,21.61
608,Eve,19,39958,Mumbai,29.07
609,Julia,48,53001,Mumbai,59.26
610,Ivan,59,25566,Chennai,42.65
611,Hana,23,76152,Mumbai,44.3
612,David,58,104766,Chennai,15.0
613,Frank,33,43485,Mumbai,0.36
614,Julia,18,72656,Chennai,98.19
615,David,41,109315,Mumbai,31.86
616,Hana,55,107644,Mumbai,66.04
617,Alice,30,39457,Delhi,40.59
618,Charlie,24,78572,Kolkata,27.54
619,Charlie,59,72688,Hyderabad,52.69
620,Ivan,38,41652,Delhi,84.83
621,Ivan,30,105433,Mumbai,46.82
622,Grace,22,28815,Mumbai,95.69
623,Hana,44,86579,Mumbai,74.19
624,Hana,57,93946,Chennai,62.28
625,Julia,47,119330,Hyderabad,71.17
626,Hana,34,105208,Chennai,36.75
627,Eve,42,40598,Hyderabad,13.27
628,Alice,47,28529,Pune,60.59
629,Eve,19,107360,Chennai,93.84
630,Bob,34,98044,Hyderabad,55.08
631,Bob,42,56221,Mumbai,49.56
632,Charlie,27,83123,Hyderabad,60.18
633,Grace,52,54314,Kolkata,94.58
634,Frank,35,110882,Delhi,10.18
635,Hana,22,69223,Delhi,88.31
636,Grace,43,97470,Chennai,24.9
637,David,57,44725,Chennai,8.43
638,Charlie,37,107170,Delhi,8.49
639,Frank,42,69660,Chennai,54.87
640,Alice,49,75968,Mumbai,14.19
641,Charlie,24,81613,Bangalore,19.64
642,Eve,49,24008,Mumbai,17.26
643,Ivan,18,79103,Delhi,34.61
644,Julia,25,55903,Bangalore,22.81
645,Eve,48,55539,Chennai,73.09
646,Hana,59,83333,Delhi,6.84
647,Ivan,58,49717,Kolkata,32.72
648,Frank,50,32610,Mumbai,69.14
649,Alice,20,43796,Chennai,92.67
650,Ivan,47,26793,Delhi,75.51
651,Frank,44,76450,Hyderabad,54.63
652,Charlie,46,26493,Delhi,21.58
653,Frank,36,54138,Mumbai,35.33
654,Frank,44,71776,Kolkata,40.44
655,Alice,49,101127,Delhi,34.23
656,Frank,50,96561,Mumbai,89.35
657,Grace,26,98095,Pune,57.96
658,Ivan,42,79998,Mumbai,77.07
659,Charlie,53,64169,Hyderabad,48.21
660,Frank,23,55106,Delhi,49.03
661,David,50,22428,Mumbai,40.77
662,Eve,22,60868,Pune,60.22
663,Julia,52,66167,Mumbai,29.03
664,Charlie,59,34909,Chennai,21.69
665,Bob,23,28075,Mumbai,6.24
666,Charlie,36,34459,Delhi,59.88
667,Grace,22,66718,Bangalore,50.35
668,Bob,48,86923,Kolkata,99.99
669,Frank,45,112715,Hyderabad,8.37
670,Ivan,59,92879,Mumbai,51.87
671,Charlie,22,20557,Kolkata,17.46
672,Julia,44,111299,Hyderabad,13.28
673,Frank,42,50606,Mumbai,81.43
674,Eve,44,61382,Pune,89.08
675,Ivan,34,41453,Pune,8.45
676,Bob,34,60610,Chennai,63.34
677,David,56,90596,Delhi,64.02
678,Bob,21,30612,Hyderabad,68.45
679,Julia,19,31087,Hyderabad,6.43
